Date,Price,Open,High,Low,Vol.,Change %,,,,,
"Sep 06, 2019","2,980.75","2,970.75","2,988.25","2,970.25",1.18M,0.29%,,,,,
"Sep 05, 2019","2,972.00","2,938.00","2,986.50","2,936.50",1.67M,1.14%,,,,,
"Sep 04, 2019","2,938.50","2,903.00","2,939.50","2,902.00",1.25M,1.12%,,,,,
"Sep 03, 2019","2,906.00","2,901.00","2,926.50","2,889.00",2.00M,0.11%,,,,,
"Sep 02, 2019","2,902.88","2,909.12","2,926.50","2,890.50",-,-0.21%,,,,,
"Sep 01, 2019","2,908.88","2,923.50","2,923.50","2,893.75",-,-0.54%,,,,,
"Aug 30, 2019","2,924.75","2,923.25","2,946.50","2,913.25",1.64M,-0.07%,,,,,
"Aug 29, 2019","2,926.75","2,883.25","2,930.75","2,875.25",1.49M,1.28%,,,,,
"Aug 28, 2019","2,889.75","2,866.25","2,890.50","2,851.75",1.49M,0.85%,,,,,
"Aug 27, 2019","2,865.50","2,882.75","2,899.50","2,860.00",1.53M,-0.62%,,,,,
"Aug 26, 2019","2,883.25","2,831.00","2,888.50","2,810.25",1.85M,0.97%,,,,,
"Aug 23, 2019","2,855.50","2,920.25","2,936.75","2,834.00",2.86M,-2.28%,,,,,
"Aug 22, 2019","2,922.25","2,931.25","2,939.75","2,904.25",1.47M,-0.24%,,,,,
"Aug 21, 2019","2,929.25","2,893.25","2,932.50","2,893.00",1.18M,1.07%,,,,,
"Aug 20, 2019","2,898.25","2,921.25","2,932.25","2,894.25",1.48M,-0.87%,,,,,
"Aug 19, 2019","2,923.75","2,893.00","2,932.25","2,892.50",1.29M,1.12%,,,,,
"Aug 16, 2019","2,891.50","2,851.00","2,894.75","2,849.50",1.63M,1.51%,,,,,
"Aug 15, 2019","2,848.50","2,836.00","2,871.75","2,817.75",2.50M,0.27%,,,,,
"Aug 14, 2019","2,840.75","2,931.00","2,936.50","2,835.75",2.79M,-3.11%,,,,,
"Aug 13, 2019","2,932.00","2,882.25","2,944.25","2,866.75",2.18M,1.80%,,,,,
"Aug 12, 2019","2,880.25","2,918.75","2,931.00","2,872.50",1.71M,-1.35%,,,,,
"Aug 09, 2019","2,919.75","2,928.00","2,935.75","2,899.00",2.03M,-0.69%,,,,,
"Aug 08, 2019","2,940.00","2,879.00","2,940.75","2,870.50",1.80M,2.07%,,,,,
"Aug 07, 2019","2,880.50","2,873.75","2,891.50","2,823.25",2.68M,0.16%,,,,,
"Aug 06, 2019","2,876.00","2,816.25","2,883.75","2,775.75",2.60M,1.63%,,,,,
"Aug 05, 2019","2,830.00","2,929.25","2,933.50","2,820.50",3.07M,-3.50%,,,,,
"Aug 02, 2019","2,932.50","2,950.25","2,961.00","2,913.50",2.45M,-0.66%,,,,,
"Aug 01, 2019","2,952.00","2,970.25","3,014.25","2,944.50",2.74M,-1.01%,,,,,
"Jul 31, 2019","2,982.25","3,016.25","3,020.75","2,958.00",1.95M,-1.00%,,,,,
"Jul 30, 2019","3,012.25","3,022.25","3,027.50","3,001.50",1.18M,-0.31%,,,,,
"Jul 29, 2019","3,021.75","3,022.00","3,027.25","3,015.50",823.57K,-0.09%,,,,,
"Jul 26, 2019","3,024.50","3,006.50","3,029.50","3,006.00",961.02K,0.60%,,,,,
"Jul 25, 2019","3,006.50","3,018.00","3,027.75","2,998.00",1.33M,-0.50%,,,,,
"Jul 24, 2019","3,021.50","3,003.00","3,022.00","2,996.00",1.07M,0.45%,,,,,
"Jul 23, 2019","3,008.00","2,988.75","3,008.50","2,987.50",1.06M,0.64%,,,,,
"Jul 22, 2019","2,989.00","2,974.50","2,993.50","2,972.50",1.10M,0.40%,,,,,
"Jul 19, 2019","2,977.00","3,003.75","3,009.75","2,969.50",1.48M,-0.68%,,,,,
"Jul 18, 2019","2,997.50","2,980.75","3,005.25","2,974.50",1.35M,0.42%,,,,,
"Jul 17, 2019","2,985.00","3,005.75","3,013.00","2,980.50",1.04M,-0.73%,,,,,
"Jul 16, 2019","3,007.00","3,017.25","3,021.75","3,004.50",939.81K,-0.34%,,,,,
